country,continent
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Afghanistan,Asia
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Albania,Europe
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Algeria,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Angola,Africa
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Argentina,Americas
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Australia,Oceania
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Austria,Europe
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bahrain,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Bangladesh,Asia
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Belgium,Europe
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Benin,Africa
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bolivia,Americas
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Bosnia and Herzegovina,Europe
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Botswana,Africa
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Brazil,Americas
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Bulgaria,Europe
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burkina Faso,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Burundi,Africa
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cambodia,Asia
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Cameroon,Africa
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Canada,Americas
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Central African Republic,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chad,Africa
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
Chile,Americas
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
China,Asia
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Colombia,Americas
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
Comoros,Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Dem. Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
"Congo, Rep.",Africa
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Costa Rica,Americas
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Cote d'Ivoire,Africa
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Croatia,Europe
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Cuba,Americas
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Czech Republic,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Denmark,Europe
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Djibouti,Africa
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Dominican Republic,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Ecuador,Americas
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
Egypt,Africa
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
El Salvador,Americas
Equatorial Guinea,Africa
Equatorial Guinea,Africa
Equatorial Guinea,Africa
Equatorial Guinea,Africa
